400,266,0.631
111,306,0.577
14,277,0.346
385,783,0.164
375,60,0.972
969,982,0.869
874,370,0.460
735,666,0.895
10,866,0.279
696,501,0.366
241,544,0.859
501,327,0.309
742,524,0.670
790,277,0.424
397,608,0.170
317,921,0.345
182,942,0.987
455,80,0.492
928,523,0.114
369,53,0.976
746,59,0.127
432,786,0.366
705,337,0.503
747,453,0.589
821,444,0.067
590,767,0.875
764,806,0.997
834,907,0.920
824,402,0.717
513,192,0.462
903,679,0.432
5,729,0.468
803,147,0.662
344,487,0.120
681,542,0.777
753,556,0.011
195,276,0.221
146,285,0.663
848,794,0.291
313,846,0.940
184,742,0.727
638,698,0.200
280,207,0.691
577,822,0.710
778,370,0.102
187,512,0.729
146,177,0.745
29,279,0.993
811,925,0.535
383,929,0.323
736,890,0.106
356,555,0.173
703,191,0.419
737,706,0.628
743,67,0.002
969,732,0.213
803,775,0.483
2,61,0.367
979,971,0.407
743,846,0.202
52,675,0.643
399,949,0.511
516,96,0.127
444,467,0.298
21,535,0.267
629,333,0.777
935,580,0.579
484,294,0.909
540,701,0.698
615,240,0.501
933,225,0.046
891,314,0.934
376,841,0.724
421,572,0.612
684,317,0.348
943,936,0.139
20,273,0.813
258,344,0.231
127,82,0.792
527,719,0.323
106,268,0.793
447,418,0.584
518,905,0.422
908,312,0.728
611,820,0.057
696,904,0.866
53,678,0.073
463,337,0.986
522,800,0.409
469,142,0.450
63,620,0.448
11,935,0.389
26,73,0.458
319,759,0.590
808,508,0.741
19,940,0.497
989,73,0.981
661,370,0.892
896,410,0.009
640,540,0.984
906,739,0.451
57,148,0.714
390,138,0.845
347,594,0.924
709,536,0.312
574,249,0.119
683,314,0.739
981,961,0.547
419,155,0.295
843,430,0.292
856,385,0.146
674,695,0.832
706,257,0.955
499,876,0.691
542,583,0.206
726,699,0.995
716,84,0.819
294,126,0.681
415,795,0.759
82,867,0.214
476,692,0.628
936,399,0.162
908,635,0.415
730,171,0.987
640,291,0.503
317,259,0.314
886,448,0.976
894,335,0.266
110,40,0.533
723,433,0.298
799,541,0.552
77,437,0.908
586,91,0.216
5,241,0.145
52,153,0.313
899,848,0.295
650,755,0.640
271,512,0.549
184,679,0.847
220,214,0.469
173,729,0.497
880,336,0.988
106,277,0.251
227,638,0.089
237,682,0.350
142,191,0.357
467,481,0.967
658,980,0.791
57,107,0.805
311,627,0.574
371,301,0.771
42,255,0.742
985,778,0.331
789,826,0.777
505,853,0.957
772,368,0.016
291,809,0.008
689,903,0.898
174,115,0.715
688,114,0.801
810,489,0.280
954,697,0.766
731,11,0.741
770,208,0.502
110,253,0.310
643,257,0.272
435,829,0.260
171,215,0.208
965,335,0.219
322,388,0.885
507,894,0.239
421,431,0.635
964,401,0.388
185,256,0.462
954,533,0.803
884,109,0.489
258,594,0.507
358,786,0.658
875,883,0.777
199,513,0.434
556,472,0.330
806,258,0.699
433,641,0.547
341,862,0.702
922,369,0.351
145,611,0.793
505,848,0.231
467,597,0.436
43,303,0.536
60,673,0.949
678,396,0.853
730,740,0.392
238,483,0.062
549,575,0.021
531,510,0.236
303,346,0.107
890,433,0.566
216,860,0.575
863,143,0.942
712,493,0.493
563,287,0.801
844,281,0.651
939,588,0.986
797,99,0.021
513,531,0.296
98,54,0.356
811,821,0.787
180,661,0.898
825,819,0.917
936,6,0.711
769,587,0.579
814,424,0.326
316,691,0.903
215,913,0.303
855,770,0.951
48,706,0.184
293,604,0.716
248,533,0.120
60,273,0.358
447,628,0.304
21,651,0.036
771,194,0.065
643,678,0.939
182,88,0.272
458,405,0.360
945,397,0.601
956,512,0.837
337,225,0.465
788,316,0.998
814,329,0.082
968,56,0.703
336,418,0.774
486,421,0.283
221,29,0.223
415,734,0.659
697,300,0.502
177,882,0.814
569,514,0.788
128,380,0.356
136,231,0.328
38,925,0.592
367,459,0.571
875,797,0.979
136,355,0.087
6,501,0.388
531,383,0.472
817,85,0.865
874,348,0.906
522,665,0.215
771,258,0.844
149,525,0.915
997,390,0.094
66,79,0.718
110,504,0.328
762,50,0.966
594,666,0.535
918,99,0.906
905,429,0.388
824,375,0.617
326,886,0.187
924,755,0.956
587,955,0.896
582,215,0.437
585,394,0.716
62,646,0.875
351,765,0.911
366,550,0.803
191,594,0.024
510,728,0.195
535,669,0.492
412,905,0.182
767,941,0.236
721,750,0.298
415,49,0.187
800,185,0.832
934,573,0.857
752,642,0.916
781,397,0.306
757,9,0.545
526,897,0.827
249,315,0.394
263,77,0.423
542,608,0.454
327,682,0.126
273,223,0.286
386,429,0.421
976,846,0.569
74,612,0.660
126,568,0.801
11,448,0.717
415,433,0.185
771,507,0.132
310,531,0.118
829,247,0.503
97,874,0.158
811,560,0.826
972,495,0.681
592,246,0.602
671,773,0.630
461,738,0.855
941,23,0.498
102,437,0.040
250,261,0.825
378,776,0.282
240,876,0.491
575,733,0.139
987,341,0.360
706,96,0.353
958,26,0.671
285,188,0.302
355,509,0.302
808,607,0.248
947,391,0.139
907,818,0.853
999,909,0.997
621,684,0.072
943,370,0.480
503,759,0.245
61,976,0.468
516,252,0.912
305,23,0.072
754,802,0.345
135,726,0.298
622,953,0.173
253,975,0.777
995,824,0.989
574,549,0.424
510,979,0.871
771,112,0.668
826,693,0.349
543,478,0.741
924,162,0.481
700,196,0.873
467,18,0.204
547,448,0.782
182,848,0.026
956,6,0.299
228,984,0.188
691,509,0.172
200,1,0.639
133,599,0.822
37,825,0.780
545,104,0.851
856,81,0.414
27,928,0.727
61,186,0.932
30,525,0.341
119,622,0.198
742,779,0.335
546,229,0.247
849,545,0.329
944,320,0.825
540,567,0.300
220,774,0.191
566,818,0.284
143,339,0.973
949,314,0.458
848,789,0.222
331,237,0.470
853,682,0.543
281,948,0.878
737,595,0.344
130,800,0.250
471,416,0.659
534,299,0.838
627,907,0.629
367,101,0.866
200,482,0.614
110,91,0.909
