278,984,0.900
936,886,0.150
509,895,0.370
560,998,0.387
711,14,0.927
207,557,0.800
567,234,0.420
505,474,0.756
31,757,0.388
356,556,0.727
304,514,0.704
992,939,0.905
178,312,0.851
533,662,0.238
334,281,0.374
793,524,0.447
674,337,0.247
933,385,0.242
432,738,0.928
474,6,0.667
578,169,0.764
583,995,0.471
552,419,0.964
25,887,0.273
621,301,0.911
895,766,0.305
411,313,0.500
895,820,0.887
316,102,0.674
55,870,0.585
277,943,0.771
799,302,0.897
392,317,0.388
677,795,0.464
780,210,0.839
213,984,0.514
338,322,0.760
235,804,0.973
951,701,0.184
441,429,0.471
437,824,0.542
94,484,0.116
152,425,0.530
754,351,0.601
865,21,0.980
554,274,0.843
554,440,0.513
120,99,0.870
424,976,0.224
81,170,0.632
875,235,0.360
315,651,0.831
800,669,0.947
2,379,0.667
59,763,0.671
883,596,0.518
631,580,0.245
813,898,0.689
895,930,0.993
601,915,0.466
892,127,0.953
33,557,0.846
314,187,0.329
667,465,0.964
396,252,0.977
27,419,0.159
669,111,0.336
931,884,0.204
749,617,0.171
372,509,0.317
349,332,0.454
596,417,0.035
995,894,0.508
323,307,0.432
469,511,0.108
427,722,0.963
135,880,0.667
376,257,0.124
12,891,0.314
944,61,0.506
247,947,0.911
62,818,0.091
25,334,0.884
874,47,0.805
806,311,0.389
151,989,0.232
361,252,0.840
861,122,0.449
949,911,0.826
758,715,0.557
82,909,0.560
5,878,0.892
530,25,0.064
379,749,0.268
71,967,0.601
269,875,0.815
992,247,0.083
65,613,0.296
147,588,0.385
140,448,0.426
145,581,0.546
611,312,0.421
195,250,0.305
763,124,0.841
676,347,0.101
918,352,0.494
619,792,0.844
720,656,0.018
164,841,0.431
120,170,0.614
611,370,0.016
486,148,0.445
586,140,0.412
239,470,0.535
488,505,0.831
648,941,0.552
499,73,0.054
128,825,0.555
407,275,0.427
305,329,0.251
801,978,0.931
188,828,0.502
629,326,0.512
636,417,0.717
630,467,0.051
902,0,0.447
170,537,0.326
230,166,0.527
633,230,0.218
758,62,0.214
949,447,0.571
628,963,0.807
698,665,0.716
597,192,0.525
760,345,0.478
74,592,0.877
257,912,0.776
31,186,0.832
958,922,0.612
515,228,0.828
